               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.049474,            0.056549,            0.026447,             0.60966,             0.46698,              0.4912,             0.32808,            0.045464,            0.031263,            0.010995,              0.0946,              0.0006,              0.0006
                   1,            0.048514,            0.051266,            0.026764,             0.70958,             0.63143,             0.68997,             0.46286,            0.044715,            0.031268,             0.01032,            0.088257,           0.0012571,           0.0012571
                   2,            0.048476,            0.053927,            0.023135,             0.75875,             0.62679,              0.6987,             0.46211,            0.044881,            0.031545,           0.0099771,            0.081868,            0.001868,            0.001868
                   3,            0.049571,            0.053262,            0.024704,             0.72378,             0.60167,             0.66274,             0.43141,            0.044896,            0.032082,           0.0099478,            0.075433,           0.0024327,           0.0024327
                   4,            0.044093,            0.049724,            0.021286,             0.70582,             0.65062,             0.70047,             0.45845,            0.045052,            0.032803,           0.0098369,            0.068951,           0.0029512,           0.0029512
                   5,             0.04975,            0.049747,            0.025318,             0.66577,             0.65686,             0.69196,             0.40887,            0.047768,            0.033386,            0.010124,            0.062423,           0.0034235,           0.0034235
                   6,            0.047606,             0.05107,            0.020927,             0.71031,             0.64834,             0.71017,             0.46726,            0.045706,            0.032202,            0.010237,             0.05585,           0.0038496,           0.0038496
                   7,            0.049099,            0.054562,            0.016686,              0.7204,             0.66323,             0.72574,             0.45809,            0.046113,            0.031755,            0.010057,             0.04923,           0.0042295,           0.0042295
                   8,            0.045234,            0.048979,            0.017036,             0.68727,             0.66725,             0.71906,             0.44746,            0.048311,            0.030738,            0.010026,            0.042563,           0.0045632,           0.0045632
                   9,            0.049848,            0.050247,            0.018893,             0.69953,             0.63002,             0.71166,             0.44577,            0.048725,            0.030352,           0.0099306,            0.035851,           0.0048507,           0.0048507
                  10,            0.047828,            0.052571,             0.01714,             0.77439,             0.59632,              0.7019,             0.43591,            0.047877,            0.030267,           0.0099213,            0.029092,            0.005092,            0.005092
                  11,            0.048684,            0.041311,            0.015355,             0.76437,             0.63548,             0.73083,              0.4556,            0.047068,            0.030163,             0.01006,            0.022287,           0.0052871,           0.0052871
                  12,            0.046371,            0.049224,            0.015262,             0.74962,             0.60984,             0.71762,             0.43209,            0.049023,            0.030023,           0.0099586,            0.015436,            0.005436,            0.005436
                  13,            0.047254,            0.040944,            0.012323,             0.73084,             0.61375,             0.70433,             0.42264,            0.052074,            0.029826,             0.00986,           0.0085387,           0.0055387,           0.0055387
                  14,            0.049485,            0.055988,            0.013501,              0.6965,             0.68261,             0.72899,             0.44888,            0.048474,            0.029883,           0.0096197,             0.00538,             0.00538,             0.00538
                  15,            0.048664,            0.047006,            0.014746,             0.68146,             0.66842,             0.71439,             0.44893,            0.047743,            0.029991,           0.0098431,             0.00538,             0.00538,             0.00538
                  16,            0.044632,             0.04121,            0.015487,             0.76662,             0.62545,             0.71156,             0.44826,            0.047781,            0.029814,           0.0099358,             0.00505,             0.00505,             0.00505
                  17,            0.047344,            0.046457,            0.014921,             0.72006,             0.63156,             0.71475,             0.45376,            0.048744,            0.029663,            0.010095,             0.00472,             0.00472,             0.00472
                  18,            0.045928,            0.043226,            0.012672,             0.67659,             0.56036,              0.6184,             0.39739,            0.046427,            0.029317,            0.010336,             0.00439,             0.00439,             0.00439
                  19,            0.045181,            0.050354,            0.014461,             0.78187,             0.66442,              0.7521,             0.46779,            0.045354,            0.029457,            0.010332,             0.00406,             0.00406,             0.00406
                  20,            0.045737,            0.047655,            0.017126,             0.75133,               0.694,             0.75569,              0.4827,            0.044707,            0.029561,            0.010329,             0.00373,             0.00373,             0.00373
                  21,            0.042494,             0.04425,             0.01376,             0.81359,              0.6711,             0.75803,             0.48512,            0.044579,             0.02965,            0.010352,              0.0034,              0.0034,              0.0034
                  22,            0.041877,            0.041813,            0.012398,             0.80523,             0.66734,             0.75733,             0.48346,            0.043835,            0.029652,            0.010448,             0.00307,             0.00307,             0.00307
                  23,            0.041898,            0.041839,            0.011512,             0.83008,             0.66124,             0.75872,             0.49298,              0.0439,            0.029687,            0.010403,             0.00274,             0.00274,             0.00274
                  24,            0.041583,            0.040353,            0.011301,             0.82454,             0.66792,             0.76812,             0.50899,            0.043285,            0.029651,            0.010337,             0.00241,             0.00241,             0.00241
                  25,            0.041313,            0.042848,            0.011937,             0.85291,             0.65418,             0.76506,             0.50453,            0.042722,            0.029518,             0.01021,             0.00208,             0.00208,             0.00208
                  26,            0.043401,            0.045271,             0.01153,             0.83348,             0.66146,             0.76446,              0.5111,             0.04258,            0.029241,            0.010067,             0.00175,             0.00175,             0.00175
                  27,            0.040899,            0.035879,            0.012698,             0.84498,             0.66906,             0.76354,              0.5211,            0.042247,            0.029058,           0.0099418,             0.00142,             0.00142,             0.00142
                  28,            0.039774,            0.040002,            0.011045,              0.8548,             0.66515,             0.76091,             0.52369,            0.041899,            0.029019,           0.0099538,             0.00109,             0.00109,             0.00109
                  29,            0.040559,            0.040369,            0.010405,             0.85592,             0.66633,             0.76097,             0.52567,            0.041744,            0.028913,           0.0099595,             0.00076,             0.00076,             0.00076
